// Unused singles
CS (32, 300) (38, 0) - 1 5 14 5 1 19 6 16 6 20 7 1 15 4 8 4 16 6 18 6 16 4 8 4 15 1 7 20 6 16 6 19
CS (20, 196) (40, 0) - 1 5 16 5 1 21 6 16 5 1 21 6 16 6 21 1 5 16 6 21
CS (48, 408) (48, 0) - 1 6 1 17 6 20 7 1 13 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 13 1 7 20 6 17 1 6 1 17 6 20 7 1 14 1 7 20 6 17
CS (44, 388) (51, 0) - 1 5 14 4 12 4 12 4 14 6 21 1 5 14 4 12 4 14 5 1 21 6 14 4 12 4 12 4 14 5 1 21 6 14 4 12 4 12 4 12 4 14 6 21
CS (48, 376) (54, 0) - 1 5 12 2 2 2 10 4 10 4 15 1 6 1 19 7 1 14 1 7 19 1 6 1 15 4 10 4 10 2 2 2 12 5 1 19 6 16 6 18 6 16 6 18 6 16 6 19
CS (36, 388) (56, 0) - 1 5 16 6 20 6 16 5 1 21 6 16 6 20 6 16 5 1 21 6 16 6 20 6 16 6 21 1 5 16 6 20 6 16 6 21
CS (36, 324) (64, 0) - 1 5 14 4 12 4 14 5 1 21 6 14 4 12 4 14 5 1 21 6 14 4 12 4 14 6 21 1 5 14 4 12 4 14 6 21
OSO (21, 171) (65, 0) - 1 5 14 5 1 19 6 14 4 10 4 14 6 19 1 6 1 15 5 1 20
CS (60, 588) (70, 0) - 1 5 16 5 1 21 6 16 5 1 21 6 16 6 21 1 5 16 5 1 21 6 16 6 21 1 5 16 5 1 21 6 16 6 21 1 5 16 6 21 1 5 16 5 1 21 6 16 6 21 1 5 16 5 1 21 6 16 6 21
OSO (19, 167) (72, 0) - 1 5 14 5 1 19 6 18 6 17 1 6 1 19 6 16 5 1 20
CS (64, 508) (76, 0) - 1 5 12 2 2 2 10 4 12 2 2 2 10 4 12 4 14 6 21 1 5 16 5 1 21 6 14 4 12 4 10 2 2 2 12 4 10 2 2 2 12 5 1 19 6 16 6 20 6 16 4 8 4 16 4 8 4 16 6 20 6 16 6 19
CS (48, 300) (77, 0) - 1 5 12 4 10 2 4 2 6 2 4 2 10 4 12 5 1 17 4 6 2 6 2 4 2 10 4 12 5 1 17 6 18 6 17 1 5 12 4 10 2 4 2 6 2 6 4 17
CS (84, 572) (77, 0) - 1 5 14 4 12 4 10 2 4 2 8 2 4 2 8 2 4 2 8 2 4 2 8 2 6 4 17 1 6 1 17 4 6 2 8 2 4 2 8 2 4 2 8 2 4 2 8 2 4 2 10 4 12 4 14 5 1 21 6 14 4 10 4 16 6 20 6 14 4 12 4 12 4 14 6 20 6 16 4 10 4 14 6 21
CS (44, 388) (78, 0) - 1 5 14 4 12 4 12 4 14 5 1 21 6 14 4 12 4 12 4 14 5 1 21 6 14 4 12 4 12 4 14 6 21 1 5 14 4 12 4 12 4 14 6 21
OSO (13, 125) (87, 0) - 1 5 12 4 12 4 14 6 20 6 16 6 19
CS (70, 556) (88, 0) - 1 5 12 4 14 6 18 4 6 2 4 2 10 4 12 4 12 4 10 2 4 2 6 4 18 6 14 4 12 5 1 19 6 14 4 10 2 2 2 10 4 14 6 20 6 14 5 1 19 6 16 6 19 1 5 14 6 20 6 14 4 10 2 2 2 10 4 14 6 19
CS (120, 1052) (88, 0) - 1 5 14 4 12 4 10 4 16 6 19 1 5 14 5 1 19 6 18 6 17 1 6 1 18 1 6 1 17 6 19 1 5 14 5 1 19 6 17 1 6 1 18 1 6 1 17 6 18 6 19 1 5 14 5 1 19 6 16 4 10 4 12 4 14 5 1 20 1 5 14 5 1 19 6 17 1 6 1 18 1 6 1 17 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 18 6 17 1 6 1 18 1 6 1 17 6 19 1 5 14 5 1 20
CS (52, 452) (92, 0) - 1 5 14 4 12 4 12 4 12 4 14 5 1 21 6 14 4 12 4 12 4 12 4 14 5 1 21 6 14 4 12 4 12 4 12 4 14 6 21 1 5 14 4 12 4 12 4 12 4 14 6 21
OSO (19, 183) (97, 0) - 1 5 15 1 7 22 6 16 5 1 21 6 16 4 10 4 16 6 21
OSO (29, 249) (97, 0) - 1 5 14 5 1 19 6 15 1 6 1 19 6 14 4 10 4 12 4 10 4 14 6 20 7 1 15 6 19
OSO (17, 163) (99, 0) - 1 5 16 4 8 2 6 4 18 6 18 6 20 6 16 6 21
OSO (23, 169) (99, 0) - 1 5 12 4 12 4 12 5 1 18 1 6 1 16 1 6 1 18 1 5 14 6 19
CS (48, 388) (99, 0) - 1 5 14 4 12 4 12 4 14 4 8 2 6 2 8 4 14 4 12 4 12 4 14 5 1 21 6 14 4 12 4 12 4 14 5 1 20 1 5 14 4 12 4 12 4 14 6 21
CS (60, 500) (100, 0) - 1 5 12 4 12 4 14 6 20 6 16 6 19 1 5 12 4 14 4 8 2 4 2 10 4 12 4 14 6 20 6 14 4 12 4 10 2 4 2 8 4 14 4 12 5 1 19 6 16 6 20 6 14 4 12 4 12 5 1 18
CS (68, 556) (100, 0) - 1 5 14 4 10 4 14 5 1 19 6 17 1 6 1 17 6 19 1 6 1 15 5 1 20 1 5 14 5 1 18 1 6 1 17 6 18 6 18 6 18 6 17 1 6 1 18 1 5 14 5 1 20 1 5 15 1 6 1 19 6 17 1 6 1 17 6 19
OSO (15, 163) (101, 0) - 1 7 20 6 18 6 18 6 18 6 20 6 14 4 13
CS (50, 504) (102, 0) - 1 5 16 5 1 21 6 16 6 20 6 16 5 1 21 6 15 1 7 21 1 5 16 6 20 6 14 4 14 6 20 6 16 5 1 21 7 1 15 6 21 1 5 16 6 20 6 16 6 21
CS (56, 452) (102, 0) - 1 5 14 4 10 2 4 2 8 2 2 2 12 4 14 6 21 1 5 16 6 20 6 18 6 16 4 10 4 16 6 18 6 20 6 16 5 1 21 6 14 4 12 2 2 2 8 2 4 2 10 4 14 5 1 20
OSO (25, 161) (107, 0) - 1 5 12 2 2 2 10 2 4 2 6 2 6 2 8 4 16 6 20 6 17 1 6 1 18
CS (54, 500) (108, 0) - 1 5 14 6 20 6 16 6 17 1 6 1 18 1 6 1 17 6 16 6 20 6 14 5 1 20 1 5 15 1 7 20 6 16 6 18 6 17 1 6 1 17 6 18 6 16 6 20 7 1 15 5 1 20
CS (72, 648) (120, 0) - 1 5 14 4 12 4 14 5 1 21 6 14 4 12 4 14 5 1 21 6 14 4 12 4 14 6 21 1 5 14 4 12 4 14 5 1 21 6 14 4 12 4 14 6 21 1 5 14 4 12 4 14 6 21 1 5 14 4 12 4 14 5 1 21 6 14 4 12 4 14 6 21
CS (48, 452) (121, 0) - 1 5 14 4 12 4 12 4 12 4 14 6 21 1 5 16 6 20 6 18 6 16 4 10 4 16 6 18 6 20 6 16 5 1 21 6 14 4 12 4 12 4 12 4 14 5 1 20
OSO (23, 245) (122, 0) - 1 6 1 17 6 18 6 20 6 15 1 7 20 6 18 6 18 6 18 6 18 6 19
CS (62, 420) (122, 0) - 1 5 12 4 10 4 14 4 8 4 16 6 17 1 6 1 17 6 16 4 8 4 14 4 10 4 12 5 1 17 4 6 2 6 2 6 4 16 4 6 2 6 2 6 4 16 4 6 2 6 2 6 4 16 4 6 2 6 2 6 4 17
OSO (35, 307) (127, 0) - 1 5 16 6 19 1 6 1 17 6 20 6 14 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 14 6 21
OSO (23, 157) (128, 0) - 1 5 12 4 12 4 10 2 2 2 10 4 14 6 19 1 6 1 16 1 6 1 18
OSO (15, 131) (129, 0) - 1 5 14 4 8 2 6 4 16 6 18 6 16 6 19
OSO (29, 231) (129, 0) - 1 5 12 4 12 4 10 4 14 6 19 1 6 1 15 4 8 4 14 4 10 4 12 4 10 4 14 6 19
CS (88, 696) (131, 0) - 1 5 12 4 12 4 14 4 8 2 6 2 6 2 6 2 8 4 14 4 12 4 12 5 1 17 6 20 6 16 4 10 4 14 5 1 20 1 5 16 6 20 6 16 5 1 20 1 5 14 4 10 4 16 6 20 6 17 1 5 12 4 12 4 14 4 8 2 6 2 6 2 6 2 8 4 14 4 12 4 12 5 1 17 6 20 6 17
CS (78, 580) (132, 0) - 1 5 16 6 20 6 17 1 6 1 17 4 6 2 8 2 6 4 17 1 6 1 17 4 6 2 8 2 6 4 17 1 6 1 17 6 20 6 16 5 1 20 1 6 1 15 4 10 4 14 4 10 2 4 2 8 4 16 6 20 6 16 4 8 2 4 2 10 4 14 4 10 4 15 1 6 1 20
OSO (25, 169) (134, 0) - 1 5 12 4 14 4 10 4 14 4 12 4 10 2 4 2 8 2 6 4 17 1 6 1 18
OSO (27, 269) (134, 0) - 1 5 16 6 20 6 16 5 1 21 6 15 1 7 20 6 18 6 17 1 6 1 19 6 16 6 21
OSO (25, 201) (135, 0) - 1 5 12 4 12 4 12 4 10 4 12 4 12 4 10 4 14 6 19 1 6 1 15 6 19
CS (68, 596) (137, 0) - 1 5 16 6 20 6 16 6 20 6 16 5 1 21 6 14 4 10 2 4 2 8 4 16 6 18 6 20 7 1 13 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 13 1 7 20 6 18 6 16 4 8 2 4 2 10 4 14 6 21
